// ...existing code...,,
DisplayName,DisplayVersion,Publisher
Arduino IDE 2.3.6,2.3.6,Arduino SA
SMART Mirror App,2.41.2-45243,SMART Technologies ULC
FontBase 2.22.67,2.22.67,"Dominik Levitsky Studio, LLC"
Git,2.51.0,The Git Development Community
KeeWeb,1.18.7,KeeWeb
Mozilla Firefox (x64 en-CA),142,Mozilla
Mozilla Maintenance Service,142,Mozilla
Microsoft OneDrive,25.216.1104.0002,Microsoft Corporation
Microsoft Project Professional 2024 - en-us,16.0.17932.20222,Microsoft Corporation
Microsoft Office LTSC Professional Plus 2024 - en-us,16.0.17932.20222,Microsoft Corporation
PrusaSlicer,2.9.2,Prusa Research s.r.o.
Unity Hub 3.13.1,3.13.1,Unity Technologies Inc.
Wacom Tablet,6.4.7-3,Wacom Technology Corp.
Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.40664,12.0.40664,Microsoft Corporation
Universal CRT Tools x64,10.1.19041.5609,Microsoft Corporation
Blender,4.5.1,Blender Foundation
Blender,4.4.3,Blender Foundation
DDMT-CC,1.0.0000,Adobe Systems Incorporated
Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219,10.0.40219,Microsoft Corporation
Python 3.13.7 Add to Path (64-bit),3.13.7150.0,Python Software Foundation
Antidote 11,11.6.87,Druide informatique inc.
Antidote 11 - Module français,11.6.87,Druide informatique inc.
Antidote 11 - English module,11.6.87,Druide informatique inc.
Antidote - Connectix 11,11.6.87,Druide informatique inc.
Microsoft Visual C++ 2012 x64 Additional Runtime - 11.0.61030,11.0.61030,Microsoft Corporation
Acrobat-DDMT,1.0.0000,Adobe Systems Incorporated
Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.44.35211,14.44.35211,Microsoft Corporation
Silhouette Studio,5.0.219,Silhouette America
Windows App Certification Kit Native Components,10.1.19041.5609,Microsoft Corporation
Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.40664,12.0.40664,Microsoft Corporation
Configuration Manager Client,5.00.9135.1000,Microsoft Corporation
Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161,9.0.30729.6161,Microsoft Corporation
Windows SDK DirectX x64 Remote,10.1.19041.5609,Microsoft Corporation
Python 3.13.7 Test Suite (64-bit),3.13.7150.0,Python Software Foundation
Raspberry Pi Imager,1.9.6,Raspberry Pi Ltd
Microsoft Visual Studio Installer,3.14.2084.208,Microsoft Corporation
Microsoft Visual C++ 2022 X64 Additional Runtime - 14.44.35211,14.44.35211,Microsoft Corporation
Office 16 Click-to-Run Licensing Component,16.0.17932.20222,Microsoft Corporation
Office 16 Click-to-Run Extensibility Component,16.0.17928.20216,Microsoft Corporation
Dell Command | Monitor,10.6.0.150,Dell Inc.
Python 3.13.7 Development Libraries (64-bit),3.13.7150.0,Python Software Foundation
Python 3.13.7 Standard Library (64-bit),3.13.7150.0,Python Software Foundation
VS Script Debugging Common,16.0.102.0,Microsoft Corporation
Python 3.13.7 Tcl/Tk Support (64-bit),3.13.7150.0,Python Software Foundation
Microsoft Teams Meeting Add-in for Microsoft Office,1.25.28902,Microsoft
Adobe Acrobat (64-bit),25.001.20693,Adobe
Microsoft Visual C++ 2005 Redistributable (x64),8.0.61000,Microsoft Corporation
Microsoft Visual C++ 2019 X64 Debug Runtime - 14.29.30157,14.29.30157,Microsoft Corporation
NVIDIA Graphics Driver 556.12,556.12,NVIDIA Corporation
NVIDIA HD Audio Driver 1.4.0.1,1.4.0.1,NVIDIA Corporation
NVIDIA Install Application,2.1002.418.0,NVIDIA Corporation
CodeMeter Runtime Kit v8.20a,8.20.6558.501,WIBU-SYSTEMS AG
Google Chrome,143.0.7499.41,Google LLC
Python 3.13.7 Core Interpreter (64-bit),3.13.7150.0,Python Software Foundation
Microsoft Policy Platform,68.1.9099.1053,Microsoft Corporation
Python 3.13.7 pip Bootstrap (64-bit),3.13.7150.0,Python Software Foundation
Microsoft Visual C++ 2012 x64 Minimum Runtime - 11.0.61030,11.0.61030,Microsoft Corporation
Python 3.13.7 Documentation (64-bit),3.13.7150.0,Python Software Foundation
Application Verifier x64 External Package,10.1.19041.5609,Microsoft
Windows Firewall Configuration Provider,68.1.9099.1053,Microsoft Corporation
Node.js,22.18.0,Node.js Foundation
Python 3.13.7 Executables (64-bit),3.13.7150.0,Python Software Foundation
Bonjour,2.0.4.0,Apple Inc.
Epic Games Launcher Prerequisites (x64),1.0.0.0,"Epic Games, Inc."
Microsoft Visual Studio Code,1.103.1,Microsoft Corporation
Cavalry,2.4.3,Scene Group
